AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
AuctionAPI,ml,2025-10-22T04:31:05+03:00,gpt-4o-mini,false,false,0.00,0,75.22,0
FitnessAPI,ml,2025-10-22T04:42:21+03:00,gpt-4o-mini,false,false,0.00,0,102.82,0
InventoryAPI,ml,2025-10-22T04:48:00+03:00,gpt-4o-mini,false,false,0.00,0,76.84,0
MusicAPI,ml,2025-10-22T04:52:01+03:00,gpt-4o-mini,false,false,0.00,0,104.42,0
LibraryAPI,ml,2025-10-22T04:49:40+03:00,gpt-4o-mini,false,false,0.00,0,98.74,0
TravelAPI,ml,2025-10-22T05:15:29+03:00,gpt-4o-mini,false,false,0.00,0,99.51,0
VotingAPI,ml,2025-10-22T05:17:18+03:00,gpt-4o-mini,false,false,0.00,0,108.05,0
SurveyAPI,ml,2025-10-22T05:10:06+03:00,gpt-4o-mini,false,false,0.00,0,36.08,0
BlogAPI,ml,2025-10-22T04:32:41+03:00,gpt-4o-mini,false,false,0.00,0,94.38,0
CarRentalAPI,ml,2025-10-22T04:33:52+03:00,gpt-4o-mini,false,false,0.00,0,69.12,0
CourseAPI,ml,2025-10-22T04:36:56+03:00,gpt-4o-mini,false,false,0.00,0,106.78,0
FoodDeliveryAPI,ml,2025-10-22T04:43:44+03:00,gpt-4o-mini,false,false,0.00,0,81.25,0
HotelAPI,ml,2025-10-22T04:46:42+03:00,gpt-4o-mini,false,false,0.00,0,82.04,0
RecipeAPI,ml,2025-10-22T04:56:47+03:00,gpt-4o-mini,false,false,0.00,0,33.15,0
SchoolAPI,ml,2025-10-22T04:59:33+03:00,gpt-4o-mini,false,false,0.00,0,87.44,0
TicketingAPI,ml,2025-10-22T05:13:48+03:00,gpt-4o-mini,false,false,0.00,0,132.78,0
EcommerceAPI,ml,2025-10-22T04:38:53+03:00,gpt-4o-mini,false,false,0.00,0,116.47,0
MovieAPI,ml,2025-10-22T04:50:16+03:00,gpt-4o-mini,false,false,0.00,0,34.21,0
NewsAPI,ml,2025-10-22T04:53:27+03:00,gpt-4o-mini,false,false,0.00,0,83.79,0
ProjectAPI,ml,2025-10-22T04:56:12+03:00,gpt-4o-mini,false,false,0.00,0,82.41,0
ResearchAPI,ml,2025-10-22T04:58:04+03:00,gpt-4o-mini,false,false,0.00,0,76.51,0
ShopAPI,ml,2025-10-22T05:01:46+03:00,gpt-4o-mini,false,false,0.00,0,131.95,0
HealthAPI,ml,2025-10-22T04:45:19+03:00,gpt-4o-mini,false,false,0.00,0,94.05,0
StudentAPI,ml,2025-10-22T05:09:29+03:00,gpt-4o-mini,false,false,0.00,0,115.86,0
WarehouseAPI,ml,2025-10-22T05:18:30+03:00,gpt-4o-mini,false,false,0.00,0,70.32,0
TaskManagerAPI,ml,2025-10-22T05:11:34+03:00,gpt-4o-mini,false,false,0.00,0,86.59,0
ClinicAPI,ml,2025-10-22T04:35:08+03:00,gpt-4o-mini,false,false,0.00,0,74.64,0
FinanceAPI,ml,2025-10-22T04:40:37+03:00,gpt-4o-mini,false,false,0.00,0,102.26,0
SocialAPI,ml,2025-10-22T05:07:32+03:00,gpt-4o-mini,false,false,0.00,0,164.35,1
PortfolioAPI,ml,2025-10-22T04:54:49+03:00,gpt-4o-mini,false,false,0.00,0,80.89,0
