AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
ClinicAPI,hybrid,2025-10-22T06:13:02+03:00,gpt-4o-mini,false,false,0.00,0,74.85,0
AuctionAPI,hybrid,2025-10-22T06:08:39+03:00,gpt-4o-mini,false,false,0.00,0,74.81,0
InventoryAPI,hybrid,2025-10-22T06:25:03+03:00,gpt-4o-mini,false,false,0.00,0,73.74,0
PortfolioAPI,hybrid,2025-10-22T06:32:42+03:00,gpt-4o-mini,false,false,0.00,0,64.84,0
FoodDeliveryAPI,hybrid,2025-10-22T06:20:44+03:00,gpt-4o-mini,false,false,0.00,0,97.00,0
SurveyAPI,hybrid,2025-10-22T06:41:27+03:00,gpt-4o-mini,false,false,0.00,0,23.90,0
FinanceAPI,hybrid,2025-10-22T06:17:23+03:00,gpt-4o-mini,false,false,0.00,0,78.95,0
HealthAPI,hybrid,2025-10-22T06:22:16+03:00,gpt-4o-mini,false,false,0.00,0,85.27,0
ResearchAPI,hybrid,2025-10-22T06:35:48+03:00,gpt-4o-mini,false,false,0.00,0,77.34,0
StudentAPI,hybrid,2025-10-22T06:41:00+03:00,gpt-4o-mini,false,false,0.00,0,66.25,0
TaskManagerAPI,hybrid,2025-10-22T06:41:58+03:00,gpt-4o-mini,false,false,0.00,0,26.93,0
TicketingAPI,hybrid,2025-10-22T06:43:37+03:00,gpt-4o-mini,false,false,0.00,0,94.14,0
BlogAPI,hybrid,2025-10-22T06:10:00+03:00,gpt-4o-mini,false,false,0.00,0,76.47,0
LibraryAPI,hybrid,2025-10-22T06:26:36+03:00,gpt-4o-mini,false,false,0.00,0,88.56,0
MovieAPI,hybrid,2025-10-22T06:27:08+03:00,gpt-4o-mini,false,false,0.00,0,28.90,0
VotingAPI,hybrid,2025-10-22T06:46:11+03:00,gpt-4o-mini,false,false,0.00,0,74.83,0
FitnessAPI,hybrid,2025-10-22T06:19:04+03:00,gpt-4o-mini,false,false,0.00,0,97.27,0
HotelAPI,hybrid,2025-10-22T06:23:44+03:00,gpt-4o-mini,false,false,0.00,0,84.87,0
NewsAPI,hybrid,2025-10-22T06:31:34+03:00,gpt-4o-mini,false,false,0.00,0,61.85,0
RecipeAPI,hybrid,2025-10-22T06:34:28+03:00,gpt-4o-mini,false,false,0.00,0,31.67,0
ShopAPI,hybrid,2025-10-22T06:38:36+03:00,gpt-4o-mini,false,false,0.00,0,82.94,0
CarRentalAPI,hybrid,2025-10-22T06:11:44+03:00,gpt-4o-mini,false,false,0.00,0,98.54,0
CourseAPI,hybrid,2025-10-22T06:14:21+03:00,gpt-4o-mini,false,false,0.00,0,74.42,0
EcommerceAPI,hybrid,2025-10-22T06:15:59+03:00,gpt-4o-mini,false,false,0.00,0,92.93,0
MusicAPI,hybrid,2025-10-22T06:28:28+03:00,gpt-4o-mini,false,false,0.00,0,76.35,0
TravelAPI,hybrid,2025-10-22T06:44:44+03:00,gpt-4o-mini,false,false,0.00,0,63.60,0
WarehouseAPI,hybrid,2025-10-22T06:47:09+03:00,gpt-4o-mini,false,false,0.00,0,55.33,0
ProjectAPI,hybrid,2025-10-22T06:33:52+03:00,gpt-4o-mini,false,false,0.00,0,66.31,0
SchoolAPI,hybrid,2025-10-22T06:37:09+03:00,gpt-4o-mini,false,false,0.00,0,75.28,0
SocialAPI,hybrid,2025-10-22T06:39:50+03:00,gpt-4o-mini,false,false,0.00,0,70.75,0
