2025-10-18T21:23:28+03:00,true,0,true,,14.295615582s
2025-10-18T21:23:43+03:00,true,0,true,,24.019837217s
2025-10-18T21:24:08+03:00,true,0,true,,30.695083176s
2025-10-18T21:24:39+03:00,true,0,true,,25.72955853s
2025-10-18T21:25:05+03:00,true,0,true,,17.477311416s
2025-10-18T21:25:23+03:00,true,0,true,,13.997364141s
2025-10-18T21:25:38+03:00,true,0,true,,28.434744378s
2025-10-18T21:26:08+03:00,true,0,true,,14.017528541s
2025-10-18T21:26:22+03:00,true,0,true,,15.673320354s
2025-10-18T21:26:39+03:00,true,0,true,,24.263794532s
2025-10-18T21:27:03+03:00,true,0,true,,18.47387793s
