AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
MovieAPI,hybrid,2025-10-22T07:06:23+03:00,gpt-4o-mini,false,false,0.00,0,80.68,0
ProjectAPI,hybrid,2025-10-22T07:12:47+03:00,gpt-4o-mini,false,false,0.00,0,62.72,0
ShopAPI,hybrid,2025-10-22T07:18:02+03:00,gpt-4o-mini,false,false,0.00,0,135.10,0
BlogAPI,hybrid,2025-10-22T06:49:49+03:00,gpt-4o-mini,false,false,0.00,0,25.09,0
CarRentalAPI,hybrid,2025-10-22T06:51:01+03:00,gpt-4o-mini,false,false,0.00,0,70.59,0
NewsAPI,hybrid,2025-10-22T07:09:22+03:00,gpt-4o-mini,false,false,0.00,0,113.57,1
MusicAPI,hybrid,2025-10-22T07:07:27+03:00,gpt-4o-mini,false,false,0.00,0,61.88,0
PortfolioAPI,hybrid,2025-10-22T07:11:43+03:00,gpt-4o-mini,false,false,0.00,0,139.94,1
SchoolAPI,hybrid,2025-10-22T07:15:46+03:00,gpt-4o-mini,false,false,0.00,0,79.97,0
TaskManagerAPI,hybrid,2025-10-22T07:22:34+03:00,gpt-4o-mini,false,false,0.00,0,58.29,0
TravelAPI,hybrid,2025-10-22T07:25:40+03:00,gpt-4o-mini,false,false,0.00,0,85.37,0
HealthAPI,hybrid,2025-10-22T06:59:05+03:00,gpt-4o-mini,false,false,0.00,0,81.54,0
TicketingAPI,hybrid,2025-10-22T07:24:14+03:00,gpt-4o-mini,false,false,0.00,0,97.83,0
VotingAPI,hybrid,2025-10-22T07:26:49+03:00,gpt-4o-mini,false,false,0.00,0,67.54,0
FitnessAPI,hybrid,2025-10-22T06:56:42+03:00,gpt-4o-mini,false,false,0.00,0,79.19,0
FoodDeliveryAPI,hybrid,2025-10-22T06:57:42+03:00,gpt-4o-mini,false,false,0.00,0,57.83,0
HotelAPI,hybrid,2025-10-22T07:02:04+03:00,gpt-4o-mini,false,false,0.00,0,178.39,1
ResearchAPI,hybrid,2025-10-22T07:14:24+03:00,gpt-4o-mini,false,false,0.00,0,65.91,0
AuctionAPI,hybrid,2025-10-22T06:49:23+03:00,gpt-4o-mini,false,false,0.00,0,123.29,1
LibraryAPI,hybrid,2025-10-22T07:05:01+03:00,gpt-4o-mini,false,false,0.00,0,93.90,0
RecipeAPI,hybrid,2025-10-22T07:13:17+03:00,gpt-4o-mini,false,false,0.00,0,28.09,0
CourseAPI,hybrid,2025-10-22T06:52:37+03:00,gpt-4o-mini,false,false,0.00,0,25.91,0
SocialAPI,hybrid,2025-10-22T07:20:04+03:00,gpt-4o-mini,false,false,0.00,0,119.98,1
StudentAPI,hybrid,2025-10-22T07:21:09+03:00,gpt-4o-mini,false,false,0.00,0,63.90,0
WarehouseAPI,hybrid,2025-10-22T07:27:59+03:00,gpt-4o-mini,false,false,0.00,0,68.45,0
EcommerceAPI,hybrid,2025-10-22T06:54:09+03:00,gpt-4o-mini,false,false,0.00,0,90.86,0
InventoryAPI,hybrid,2025-10-22T07:03:26+03:00,gpt-4o-mini,false,false,0.00,0,80.36,0
SurveyAPI,hybrid,2025-10-22T07:21:35+03:00,gpt-4o-mini,false,false,0.00,0,24.46,0
ClinicAPI,hybrid,2025-10-22T06:52:10+03:00,gpt-4o-mini,false,false,0.00,0,66.61,0
FinanceAPI,hybrid,2025-10-22T06:55:22+03:00,gpt-4o-mini,false,false,0.00,0,70.91,0
