AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
CarRentalAPI,ml,2025-10-22T05:22:52+03:00,gpt-4o-mini,false,false,0.00,0,100.90,0
CourseAPI,ml,2025-10-22T05:25:47+03:00,gpt-4o-mini,false,false,0.00,0,90.01,0
HotelAPI,ml,2025-10-22T05:35:20+03:00,gpt-4o-mini,false,false,0.00,0,71.39,0
PortfolioAPI,ml,2025-10-22T05:42:05+03:00,gpt-4o-mini,false,false,0.00,0,76.92,0
ShopAPI,ml,2025-10-22T05:53:56+03:00,gpt-4o-mini,false,false,0.00,0,133.98,0
VotingAPI,ml,2025-10-22T06:05:59+03:00,gpt-4o-mini,false,false,0.00,0,89.01,0
BlogAPI,ml,2025-10-22T05:21:10+03:00,gpt-4o-mini,false,false,0.00,0,80.21,0
EcommerceAPI,ml,2025-10-22T05:28:02+03:00,gpt-4o-mini,false,false,0.00,0,133.66,0
LibraryAPI,ml,2025-10-22T05:37:56+03:00,gpt-4o-mini,false,false,0.00,0,80.10,0
RecipeAPI,ml,2025-10-22T05:43:47+03:00,gpt-4o-mini,false,false,0.00,0,28.38,0
ResearchAPI,ml,2025-10-22T05:47:11+03:00,gpt-4o-mini,false,false,0.00,0,27.99,0
SchoolAPI,ml,2025-10-22T05:48:40+03:00,gpt-4o-mini,false,false,0.00,0,87.72,0
SurveyAPI,ml,2025-10-22T05:59:31+03:00,gpt-4o-mini,false,false,0.00,0,34.52,0
TicketingAPI,ml,2025-10-22T06:02:52+03:00,gpt-4o-mini,false,false,0.00,0,117.73,0
HealthAPI,ml,2025-10-22T05:34:08+03:00,gpt-4o-mini,false,false,0.00,0,94.88,0
FinanceAPI,ml,2025-10-22T05:29:23+03:00,gpt-4o-mini,false,false,0.00,0,80.17,0
InventoryAPI,ml,2025-10-22T05:36:35+03:00,gpt-4o-mini,false,false,0.00,0,73.26,0
SocialAPI,ml,2025-10-22T05:57:36+03:00,gpt-4o-mini,false,false,0.00,0,80.60,0
AuctionAPI,ml,2025-10-22T05:19:49+03:00,gpt-4o-mini,false,false,0.00,0,69.73,0
FoodDeliveryAPI,ml,2025-10-22T05:32:31+03:00,gpt-4o-mini,false,false,0.00,0,87.24,0
MovieAPI,ml,2025-10-22T05:38:26+03:00,gpt-4o-mini,false,false,0.00,0,28.30,0
WarehouseAPI,ml,2025-10-22T06:07:14+03:00,gpt-4o-mini,false,false,0.00,0,73.78,0
ProjectAPI,ml,2025-10-22T05:43:17+03:00,gpt-4o-mini,false,false,0.00,0,70.84,0
TravelAPI,ml,2025-10-22T06:04:28+03:00,gpt-4o-mini,false,false,0.00,0,94.95,0
ClinicAPI,ml,2025-10-22T05:24:15+03:00,gpt-4o-mini,false,false,0.00,0,81.72,0
MusicAPI,ml,2025-10-22T05:39:44+03:00,gpt-4o-mini,false,false,0.00,0,76.90,0
NewsAPI,ml,2025-10-22T05:40:47+03:00,gpt-4o-mini,false,false,0.00,0,61.85,0
FitnessAPI,ml,2025-10-22T05:31:03+03:00,gpt-4o-mini,false,false,0.00,0,98.33,0
StudentAPI,ml,2025-10-22T05:58:55+03:00,gpt-4o-mini,false,false,0.00,0,78.14,0
TaskManagerAPI,ml,2025-10-22T06:00:53+03:00,gpt-4o-mini,false,false,0.00,0,81.23,0
